ลำดับ,ชื่อสารเคมี (ไทย),ชื่อสารเคมี (อังกฤษ),CAS No
525,"1,1-ไดคลอโร-1-ไนโตรอีเธน 1,1-",DICHLORO-1-NITROETHANE,594-72-9
526,"2,4-ไดคลอโรฟีนอล 2,4-",DICHLOROPHENOL,120-83-2
527,"2-(2,4-ไดคลอโรฟีนอกซี) เอทธิล ไฮโดรเจนซัลเฟท 2-(2,4-",DICHLOROPHENOXY) ETHYL HYDROGENSULPHATE,149-26-8
528,"กรด 2-(2,4-ไดคลอโรฟีนอกซี) โพรพิโอนิค 2-(2,4-",DICHLOROPHENOXY) PROPIONIC  ACID,120-36-5
529,"โอ-(2,4-ไดคลอโรฟีนิล) โอโอ-ไดเอทธิล ฟอสฟอโรไธโอเอท","O-(2,4-DICHLOROPHENYL) OO-DIETHYL PHOSPHOROTHIOATE 97-17-6",-
530,"3-(3,4-ไดคลอโรพีนิล)-1-เมทธอกซี-1-เมทธิลยูเรีย 3-(3,4-",DICHLOROPHENYL)-1-METHOXY-1-METHYLUREA,330-55-2
531,"เอส-(2,5-ไดคลอโรฟีนิลไธโอเมทธิล) โอโอ-ไดเอทธิล ฟอสฟอโรไดไธโอเอท","S-(2,5-DICHLOROPHENYLTHIOMETHYL) OO-DIETHYL PHOSPHORODITHIOATE 2275-14-1",-
532,ไดคลอโรโพรเพน,DICHLOROPROPANE,78-87-5
533,"2,4-ไดคลอโร-แอลฟา (ไพริมิดิน-5-อิล) เบนซไฮดริล แอลกอฮอล์ 2,4-",DICHLORO-α (PYRIMIDIN-5-YL) BENZHYDRYL ALCOHOL 26766-27-8,-
534,"แอลฟา, แอลฟา-ไดคลอโรโทลูอีน α, α-",DICHLOROTOLUENE,98-87-3
535,"เกลือโซเดียมของไดคลอโร-1,3,5ไตรอะซีนไตรโอน","DICHLORO-1,3,5-TRIAZINETRIONE, SODIUM SALT",-
536,"2,2-ไดคลอโรไวนิล ไดเมทธิล ฟอสเฟต 2,2-",DICHLOROVINYL DIMETHYL PHOSPHATE,62-73-7
537,"2,2-ไดคลอโรไวนิล-2-เอทธิลซัลไฟนิลเอธทิล เมทธิลฟอสเฟต 2,2-",DICHLOROVINYL-2-ETHYLSULPHINYLETHYL METHYLPHOSPHATE 7076-53-1,-
538,เกลือของไดคลอร์พรอพ,DICHLORPROP (SALTS),-
539,ไดคลอร์วอส,DICHLORVOS,62-73-7
540,ไดโคฟอล,DICOFOL,115-32-2
541,ไดคอปเปอร์ ออกไซด์,DICOPPER OXIDE,1317-39-1
542,ไดคูมาริน,DICOUMARIN,66-76-2
543,ไดโครโตฟอส,DICROTOPHOS,141-66-2
544,ไดคูมิล เพอร์ออกไซด์,DICUMYL PEROXIDE,80-43-3
545,"2,3-ไดไซยาโน-1,4-ไดไธอะ-แอนธราควิโนน 2,3-","DICYANO-1,4-DITHIA-ANTHRAQUINONE",3347-22-6
546,ไดไซโคลเฮกซิลอะมีน,DICYCLOHEXYLAMINE,101-83-7
547,ไดไซโคลเฮกซิลแอมโมเนียม ไนไตรท์,DICYCLOHEXYLAMMONIUM  NITRITE,3129-91-7
548,"ไดไซโคลเฮกซิลมีเธน-4,4'-ได-ไอโซไซยาเนท","DICYCLOHEXYLMETHANE-4,4'-DI-ISOCYANATE",5124-30-1
549,ดีลดริน (เอช อี โอ ดี 85%),DIELDRIN (HEOD 85%),60-57-1
550,"1,2,3,4-ไดอีพอกซีบิวเทน 1,2,3,4-",DIEPOXYBUTANE,1464-53-5
551,ไดเอทธาโนลามีน,DIETHANOLAMINE,111-42-2
552,2-ไดเอทธิลอะมิโนเอทธานอล 2-,DIETHYLAMINOETHANOL,100-37-8
553,2-ไดเอทธิลอะมิโนเอทธิล เมทธาครีเลท 2-,DIETHYLAMINOETHYL METHACRYLATE,105-16-8
554,โอโอ-ไดเอทธิล โอ 2-ไดเอทธิลอะมิโน-6-เมทธิลไพริมิดีน-4- อิล ฟอสฟอโรไธโอเอท,"O,O-DIETHYL O-2-DIETHYLAMINO-6-METHYLPYRIMIDINE-4- YL PHOSPHOROTHIOATE 23505-41-1",-
555,"เอ็น,เอ็น-ไดเอทธิลอะนิลีน","N,N-DIETHYLANILINE",91-66-7
556,"เอ็น,เอ็น-ไดเอทธิล-1,3-ไดอะมิโนโพรเพน","N,N-DIETHYL-1,3-DIAMINOPROPANE",104-78-9
557,ไดเอทธิลีน ไกลคอล ไดอะครีเลท,DIETHYLENE GLYCOL DIACRYLATE,4074-88-8
558,ไดเอทธิลีน ไตรอะมีน,DIETHYLENE TRIAMINE,111-40-0
559,ไดเอทธิล อีเธอร์,DIETHYL ETHER,60-29-7
560,"โอ,โอ-ไดเอทธิล เอส-[2-(เอทธิลซัลไฟนิล) เอทธิล] ฟอสฟอโรไดไธโอเอท","O,O-DIETHYL S-[2-(ETHYLSULPHINYL) ETHYL] PHOSPHORODITHIOATE 2497-07-6",-
561,"โอ,โอ-ไดเอทธิล โอ-[2-(เอทธิลไธโอ) เอทธิล] ฟอสฟอโรไธโอเอท","O,O-DIETHYL O-[2-(ETHYLTHIO) ETHYL] PHOSPHOROTHIOATE",298-03-3
562,"โอ,โอ-ไดเอทธิล เอส-[2-(เอทธิลไธโอ) เอทธิล] ฟอสฟอโรไธโอเอท","O,O-DIETHYL S-[2-(ETHYLTHIO)ETHYL] PHOSPHOROTHIOATE 298-04-4",-
563,ไดเอทธิล เอส-[2-(เอทธิลไธโอ) เอทธิล] ฟอสฟอโรไดไธโอเอท,DIETHYL S-[2-(ETHYLTHIO) ETHYL] PHOSPHORODITHIOATE,126-75-0
564,โอโอ-ไดเอทธิล ไอโซโพรพิลคาร์บาโมอิลเมทธิล ฟอสฟอโรไดไธโอเอท,"O,O-DIETHYL ISOPROPYLCARBAMOYLMETHYL PHOSPHORODITHIOATE 2275-18-5",-
565,"โอ,โอ-ไดเอทธิล โอ-(2-ไอโซโพรพิล-6-เมทธิลไพริมิดิน-4-อิล) ฟอสฟอโรไธโอเอท","O,O-DIETHYL O-(2-ISOPROPYL-6-METHYLPYRIMIDIN -4-YL) PHOSPHOROTHIOATE 333-41-5",-
566,ไดเอทธิล คีโตน,DIETHYL KETONE,96-22-0
567,"โอ,โอ-ไดเอทธิล-โอ-(4-เมทธิลคูมาริน-7-อิล) ฟอสฟอโรไธโอเอท","O,O-DIETHYL-O-(4-METHYLCOUMARIN-7-YL) PHOSPHOROTHIOATE 299-45-6",-
568,"ไดเอทธิล 4-เมทธิล-1,3-ไดไธโอแลน-2-อิลลิดีน ฟอสฟอรามิเดท","DIETHYL 4-METHYL-1,3-DITHIOLAN-2-YLIDENE PHOSPHORAMIDATE 950-10-7",-
569,ไดเอทธิล 3-เมทธิลไพราซอล-5-อิล ฟอสเฟท,DIETHYL 3-METHYLPYRAZOL-5-YL PHOSPHATE,108-34-9
570,"โอ,โอ-ไดเอทธิล โอ-[4-(เมทธิลซัลไฟนิล) พีนิล] ฟอสฟอโรไธโอเอท","O,O-DIETHYL O-[4-(METHYLSULPHINYL) PHENYL] PHOSPHOROTHIOATE 115-90-2",-
571,"โอ,โอ--ไดเอทธิล โอ-4-ไนโตรฟีนิล ฟอสฟอโรไธโอเอท","O,O-DIETHYL O-4-NITROPHENYL PHOSPHOROTHIOATE",56-38-2
572,ไดเอทธิล ออกซาเลท,DIETHYL OXALATE,95-92-1
573,"เอ็น, เอ็น-ไดเอทธิล-พารา-ฟีนิลลินไดอะมีน","N, N-DIETHYL-p-PHENYLENEDIAMINE",93-05-0
574,ไดเอทธิล ซัลเฟท,DIETHYL SULPHATE,64-67-5
575,"โอ,โอ-ไดเอทธิล โอ-7,8,9,10-เตตระไฮโดร-6-ออกโซเบนโซ[ซี] โครเมน-3-อิล ฟอสฟอโรไธโอเอท","O,O-DIETHYL O-7,8,9,10-TETRAHYDRO-6-OXOBENZOI[C] CHROMEN-3-YL PHOSPHOROTHIOATE 572-48-5",-
576,"โอ,โอ-ไดเอทธิล โอ-(3,5,6-ไตรคลอโร-2-ไพริดิล) ฟอสฟอโรไธโอเอท","O,O-DIETHYL O-3,5,6-TRICHLORO-2-PYRIDYL PHOSPHOROTHIOATE 2921-88-2",-
577,ดิจิทอกซิน,DIGITOXIN,71-63-6
578,ไดกอล ไดไนโตรท,DIGOL DINITRATE,693-21-0
579,"9,10-ไดไฮโดร-8เอ, 10เอ-ไดอะโซเนียฟีแนนธรีน ไอออน 9,10-","DIHYDRO-8a, 10a-DIAZONIAPHENANTHRENE ION",2764-72-9
580,"2,3-ไดไฮโดร-2,2-ไดเมทธิลเบนโซฟิวแรน-7-อิล เมทธิลคาร์บาเมท 2,3-","DIHYDRO-2,2-DIMETHYLBENZOFURAN-7-YL METHYLCARBAMATE 1563-66-2",-
581,"เอส-(2,3-ไดไฮโดร-5-เมทธอกซี-2-ออกโซ-1,3,4-ไธอะไดอะซอล- 3-อิลเมทธิล) โอ,โอ-ไดเมทธิล ฟอสฟอโรไดไธโอเอท","S-(2,3-DIHYDRO-5-METHOXY-2-OXO-1,3,4-THIADIAZOL-3- YLMETHYL) O,O-DIMETHYL PHOSPHORODITHIOATE 950-37-8",-
582,"2,3-ไดไฮโดร-2-เมทธิลเบนโซฟิวแรน-7-อิลเมทธิลคาร์บาเมท 2,3-",DIHYDRO-2-METHYLBENZOFURAN-7- YLMETHYLCARBAMATE 1563-67-3,-
583,เอส-(,"O,O-ไดเอทธิล-4-ออกโซเบนโซไตรอะซิน-3-อิลเมทธิล ฟอสฟอโรไดไธโอเอท S-( O,O-DIETHYL 4-OXOBENZOTRIAZIN-3-YLMETHYL) PHOSPHORODITHIOATE 2642-71-9",-
584,"1,2-ไดไฮดรอกซีเบนซีน 1,2-",DIHYDROXYBENZENE,120-80-9
585,"1,4-ไดไฮดรอกซีเบนซีน 1,4-",DIHYDROXYBENZENE,123-31-9
586,ได-ไอโซบิวทิลีน,DI-ISOBUTYLENE,107-39-1
587,ได-ไอโซบิวทิล คีโตน,DI-ISOBUTYL KETONE,108-83-8
588,ได-ไอโซโพรพาโนลามีน,DI-ISOPROPANOLAMINE,110-97-4
589,ได-ไอโซโพรพิลอะมีน,DI-ISOPROPYLAMINE,108-18-9
590,ได-ไอโซโพรพิล อีเธอร์,DI-ISOPROPYL ETHER,108-20-3
591,ได-ไอโซโพรพิล คีโตน,DI-ISOPROPYL KETONE,565-80-0
592,"โอ,โอ-ไดไอโซโพรพิล-2-ฟีนิล ซัลโฟนิลอะมิโนเอทธิล ฟอสฟอโรไดไธโอเอท","O,O-DIISOPROPYL -2-PHENYL SULPHONYLAMINOETHYL PHOSPHORODITHIOATE 741-58-2",-
593,"เอ็น, เอ็น-ได-ไอโซโพรพิลฟอสฟอโรไดอะมินิค ฟลูออไรด์","N, N-DIISOPROPYLPHOSPHORODIAMINIC FLUORIDE",371-86-8
594,ไดคีทีน,DIKETENE,674-82-8
595,ไดออโรอิล เฟอร์ออกไซด์,DILAUROYL  PEROXIDE,105-74-8
596,ไดมีพรานอล,DIMEPRANOL,108-16-7
597,ไดมีแทน,DIMETAN,122-15-6
598,ไดมีโธเอท,DIMETHOATE,60-51-5
599,"3,3'-ไดเมทธอกซีเบนซิดีน 3,3'-",DIMETHOXYBENZIDINE,119-90-4
600,"เกลือของ 3,3(1)-ไดเมทธอกซีเบนซิดีน 3,3'-",DIMETHOXYBENZIDINE (SALTS),-
601,"1,1-ไดเมทธอกซีอีเธน 1,1-",DIMETHOXYETHANE,534-15-6
602,"1,2-ไดเมทธอกซีอีเธน 1,2-",DIMETHOXYETHANE,110-71-4
603,ไดเมทธิล อะเซตัล,DIMETHYL ACETAL,534-15-6
604,"เอ็น, เอ็น-ไดเมทธิลอะเซตาไมด์","N, N-DIMETHYLACETAMIDE",127-19-5
605,"โอ, เอส-ไดเมทธิล อะซีติลฟอสฟอรามิโดไธโอเอท","O, S-DIMETHYL ACETYLPHOSPHORAMIDOTHIOATE",30560-19-1
606,"2-ไดเมทธิลอะมิโน-5,6-ไดเมทธิลไพริมิดิน-4-อิล ไดเมทธิลคาร์บาเมท 2-","DIMETHYLAMINO-5,6-DIMETHYLPYRIMIDIN-4-YL DIMETHYLCARBAMATE 23103-98-2",-
607,2-ไดเมทธิลอะมิโนเอทธานอล 2-,DIMETHYLAMINOETHANOL,108-01-0
608,2-ไดเมทธิลอะมิโนเอทธิลอะมีน 2-,DIMETHYLAMINOETHYLMINE,108-00-9
609,2-ไดเมทธิลอะมิโนเอทธิล เมทธาครีเลท 2-,DIMETHYLAMINOETHYL METHACRYLATE,2867-47-2
610,3-ไดเมทธิลอะมิโนเมทธิลลีนอะมิโน ฟีนิล เมทธิลคาร์บาเมท 3-,DIMETHYLAMINOMETHYLENEAMINO PHENYL METHYLCARBAMATE 22259-30-9,-
611,4-ไดเมทธิลอะมิโน-3-โทอิล เมทธิลคาร์บาเมท 4-,DIMETHYLAMINO-3-TOLYL  METHYLCARBAMATE,2032-59-9
612,1-ไดเมทธิลอะมิโนโพรพาน-2-ออล 1-,DIMETHYLAMINOPROPAN-2-OL,108-16-7
613,"เอ็น, เอ็น-ไดเมทธิลอะนิลีน","N, N-DIMETHYLANILINE",121-69-7
614,"3,3'-ไดเมทธิลเบนซิดีน 3,3'-",DIMETHYLBENZIDINE,119-93-7
615,"เกลือของ 3,3'-ไดเมทธิลเบนซิดีน 3,3'-",DIMETHYLBENZIDINE (SALT),-
616,"เอ็น, เอ็น-ไดเมทธิลเบนซิดีน","N, N-DIMETHYLBENZIDINE",2810-74-4
617,"แอลฟา, แอลฟา-ไดเมทธิลเบนซิล ไฮโดรเพอร์ออกไซด์ α,α-",DIMETHYLBENZYL HYDROPEROXIDE,80-15-9
618,"บิส (แอลฟา,แอลฟา -ไดเมทธิลเบนซิล) เพอร์ออกไซด์","BIS (ALPHA,ALPHA-DIMETHYLBENZYL) PEROXIDE",80-43-3
619,"1,1'-ไดเมทธิล-4,4'-ไบไพริไดเลียม ไอออน 1,1'-","DIMETHYL-4,4'-BIPYRIDYLIUM ION",4685-14-7
620,1-ไดเมทธิลคาร์บาโมอิล-5-เมทธิลไพราซอล-3-อิล ไดเมทธิลคาร์บาเมท 1-,DIMETHYLCARBAMOYL-5-METHYLPYRAZOL-3-YL DIMETHYLCARBAMATE 644-64-4,-
621,ไดเมทธิล คาร์บอเนท,DIMETHYL CARBONATE,616-38-6
622,"1,4-ไดเมทธิลไซโคลเฮกเซน 1,4-",DIMETHYLCYCLOHEXANE,589-90-2
623,"เอ็น, เอ็น-ไดเมทธิล-1,3-ไดอะมิโนโพรเพน","N, N-DIMETHYL-1,3-DIAMINOPROPANE",109-55-7
624,ไดเมทธิลไดคลอโรไซเลน,DIMETHYLDICHLOROSILANE,75-78-5
625,ไดเมทธิล ซิส-2-ไดเมทธิลคาร์บาโมอิล-1-เมทธิลไวนิล ฟอสเฟต,DIMETHYL cis-2-DIMETHYLCARBAMOYL-1-METHYLVINYL PHOSPHATE 141-66-2,-
626,"เอ็น, เอ็น-ไดเมทธิล-2,2-ไดฟีนิลอะเซตาไมด์","N, N-DIMETHYL-2,2-DIPHENYLACETAMIDE",957-51-7
627,ไดเมทธิล อีเธอร์,DIMETHYL ETHER,115-10-6
628,ไดเมทธิล ฟอร์มาไมด์,DIMETHYL FORMAMIDE,68-12-2
629,"2, 6-ไดเมทธิลเฮพเทน-4-โอน 2,6-",DIMETHYLHEPTAN-4-ONE,108-83-8
630,"เอ็น, เอ็น-ไดเมทธิลไฮคราซีน","N, N-DIMETHYLHYDRAZINE",57-14-7
631,"1,2-ไดเมทธิลอิมิดาโซล 1,2-",DIMETHYLIMIDAZOLE,1739-84-0
632,"โอ,โอ-ไดเมทธิล-เอส-(2-[1-เมทธิลคาร์บาโมอิล เอทธิลไธโอ]) เอทธิล ฟอสฟอโรไธโอเอท","O,O-DIMETHYL-S-(2-[1-METHYLCARBAMOYL ETHYLTHIO]) ETHYL PHOSPHOROTHIOATE 2275-23-2",-
633,"โอ,โอ-ไดเมทธิล เมทธิลคาร์บาโมอิล เมทธิล ฟอสฟอโรไดไธโอเอท","O,O-DIMETHYL METHYLCARBAMOYL METHYL PHOSPHORODITHIOATE 60-51-5",-
634,"โอ,โอ-ไดเมทธิล-เอส-เมทธิลคาร์บาโมอิล เมทธิล ฟอสฟอโรไธโอเอท","O,O-DIMETHYL-S-METHYLCARBAMOYL METHYL PHOSPHOROTHIOATE 1113-02-6",-
635,ไดเมทธิล ซิส-1-เมทธิล-2-เมทธิลคาร์บาโมอิล ไวนิลฟอสเฟต,"DIMETHYL CIS-1-METHYL-2-METHYLCARBAMOYL VINYLPHOSPHATE 6923-22-4 636 โอ,โอ-ไดเมทธิล-โอ-(3--เมทธิล-4-เมทธิลไธโอ ฟีนิล) ฟอสฟอโรไธโอเอท O,O-DIMETHYL-O-(3-METHYL-4-METHYLTHIOPHENYL) PHOSPHOROTHIOATE 73981-34-7",-
637,"โอ,โอ-ไดเมทธิล-โอ-(3-เมทธิล-4-ไนโตรฟีนิล) ฟอสฟอโรไธโอเอท","O,O-DIMETHYL-O-(3-METHYL-4-NITROPHENYL) PHOSPHOROTHIOATE 94650-98-3",-
638,"1,1'-ไดเมทธิล-4,4'  ไบไพริดิเนียม ไอออน 1,1'-",DIMETHYL-4-4' - BIPYRIDINIUM ION 4685--14-7,-
639,"โอ,โอ-ไดเมทธิล-เอส-(มอร์โฟลิโน คาร์โบนิลเมทธิล) ฟอสฟอโรไดไธโอเอท","O,O-DIMETHYL-S-(MORPHOLINO CARBONYLMETHYL) PHOSPHORODITHIOATE 144-41-2",-
640,"โอ,โอ-ไดเมทธิล โอ-4-ไนโตรฟีนิล ฟอสฟอโรไธโอเอท","O,O-DIMETHYL O-4-NITROPHENYL PHOSPHOROTHIOATE",298-00-0
641,"5,5'-ไดเมทธิล-3-ออกโซไซโคลเฮก-1-เอ็นอิล ไดเมทธิล คาร์บาเมท 5,5'-",DIMETHYL-3-OXOCYCLOHEX-1-ENYL DIMETHYL CARBAMATE 122-15-6,-
642,"2,4-ไดเมทธิลเพนทาน-3-โอน 2,4-",DIMETHYLPENTAN-3-ONE,565-80-0
643,"เอ็น, เอ็น-ไดเมทธิลฟีนิลลีนไดอะมีน (โอ,เอ็ม,พี)","N, N-DIMETHYLPHENYLENEDIAMINE (O,M,P)",127-19-5
644,"โอ,เอส-ไดเมทธิล ฟอสฟอรามิโดไธโอเอท","O,S-DIMETHYL PHOSPHORAMIDOTHIOATE",10265-92-6
645,"โอ,โอ-ไดเมทธิล เอส-พธาลิมิโดเมทธิล ฟอสฟอโรไดไธโอเอท","O,O-DIMETHYL S-PHTHALIMIDOMETHYL PHOSPHORODITHIOATE 732-11-6",-
646,"2,2-ไดเมทธิลโพรเพน 2,2-",DIMETHYLPROPANE,463-82-1
647,ไดเมทธิล ซัลเฟท,DIMETHYL SULPHATE,77-78-1
648,"3,5-ไดเมทธิล-1,3,5-ไธอะไดอะซีน-2-ไธโอน 3,5-","DIMETHYL-1,3,5-THIADIAZINE-2-THIONE",533-74-4
649,"เอ็น, เอ็น-ไดเมทธิลโทลูอิดีน ไอโซเมอร์ทั�งหมด","N, N-DIMETHYLTOLUIDINE,all isomers",-
650,"ไดเมทธิล2,2,2-ไตรคลอโร-1-ไฮดรอกซีเอทธิล ฟอสโฟเนท","DIMETHYL2,2,2-TRICHLORO-1-HYDROXYETHYL PHOSPHONATE 52-68-6",-
651,"โอ,โอ-ไดเมทธิล-โอ-(2,4,5-ไตรคลอโรฟีนิล) ฟอสฟอโรไธโอเอท","O,O-DIMETHYL-O-(2,4,5-TRICHLOROPHENYL) PHOSPHOROTHIOATE 299-84-3",-
652,"2,6-ไดเมทธิล-4-ไตรเดซิลมอร์โฟไลน์ 2,6-",DIMETHYL-4-TRIDECYLMORPHOLINE,24602-86-6
653,"2,2-ไดเมทธิลไตรเมทธิลลีน ไดอะครีเลท 2,2-",DIMETHYLTRIMETHYLENE DIACRYLATE,2223-82-7
654,ไดมีทิแลน,DIMETILAN,644-64-4
655,ไดมีแซน,DIMEXAN,1468-37-7
656,ไดเนกซ์,DINEX,131-89-5
657,เกลือและเอสเทอร์ของไดเนกซ์,DINEX (SALTS AND ESTERS),-
658,"2,4-ไดไนโตรอะนิลีน 2,4-",DINITROANILINE,97-02-9
659,ไดไนโตรเบนซีน,DINITROBENZENE,25154-54-5
660,"4,6-ไดไนโตร-ออโท-ครีซอล ,เกลือแอมโมเนียม 4,6-","DINITRO-o-CRESOL ,AMMONIUM SALT",2980-64-5
661,"4,6-ไดไนโตร-ออโท-ครีซอล ,เกลือโพแทสเซียม 4,6-","DINITRO-o-CRESOL ,POTASSIUM SALT",5787-96-2
662,"4,6-ไดไนโตร-ออโท-ครีซอล ,เกลือโซเดียม 4,6-","DINITRO-o-CRESOL ,SODIUM SALT",2312-76-7
663,ไดไนโตรเจน เตตรอกไซด์,DINITROGEN TETROXIDE,10544-72-6
664,"2,6-ไดไนโตร-4-ออคทิลฟีนิล และ 2,4-ไดไนโตร-6-ออคทิลฟีนิล โครโทเนทส์ 2,6-","DINITRO-4-OCTYLPHENYL AND 2,4-DINITRO-6- OCTYLPHENYL CROTONATES 39300-45-3",-
665,ไดไนโตรฟีนอล,DINITROPHENOL,25550-58-7
666,ไดไนโตรโทลูอีน,DINITROTOLUENE,25321-14-6
667,ไดโนบิวทอน,DINOBUTON,973-21-7
668,ไดโนแคพ,DINOCAP,39300-45-3
669,ไดนอคทอน,DINOCTON,63919-26-6
670,"8,9-ไดนอร์บอร์น-5-อีน-2,3-ไดคาร์บอกซีลิค แอนไฮไดรด์ 8,9-","DINORBORN-5-ENE-2,3-DICARBOXYLIC ANHYDRIDE",123748-85-6
671,ไดโนแซม,DINOSAM,4097-36-3
672,เกลือและเอสเทอร์ของ ไดโนแซม,DINOSAM (SALTS AND ESTERS),-
673,ไดโนเซบ,DINOSAB,88-85-7
674,เกลือและเอสเทอร์ของไดโนเซบ,DINOSEB (SALTS AND ESTERS),-
675,ไดโนเทอร์บ,DINOTERB,1420-07-1
676,เกลือและเอสเทอร์ของไดโนเทอร์บ,DINOTERB (SALTS AND ESTERS),-
677,ไดออกซาคาร์บ,DIOXACARB,6988-21-2
678,"1,4-ไดออกแซน 1,4-",DIOXAN,123-91-1
679,"1,4-ไดออกแซน-2,3-ไดอิล บิส (โอ,โอ-ไดเมทธิล ฟอสฟอโรไดไธโอเอท) 1,4-","DIOXAN-2,3-DIYL  BIS (O,O-DIMETHYL PHOSPHORODITHIOATE) 78-34-2",-
680,ไดออกซะไธออน,DIOXATHION,78-34-2
681,"1,3-ไดออกโซเลน 1,3-",DIOXOLANE,646-06-0
682,"2-(1,3-ไดออกโซเลน-2-อิล) ฟีนิลเมทธิล คาร์บาเมท 2-(1,3-",DIOXOLAN-2-YL) PHENYLMETHYL CARBAMATE,6988-21-2
683,ไดเพนทีน,DIPENTENE,138-86-3
684,ไดฟีนามิด,DIPHENAMID,957-51-7
685,ไดฟีนิลอะมีน,DIPHENYLAMINE,122-39-4
686,"ไดฟีนิลมีเธน-4,4'-ไดไอโซไซยาเนท","DIPHENYLMETHANE-4,4'-DIISOCYANATE",101-68-8
687,ไอโซเมอร์และโฮโมโลกัสของไดฟีนิลมีเธนไดไอโซไซยาเนท,"DIPHENYLMETHANEDIISOCYANATE,isomers and homologues",9016-87-9
688,ได-เอ็น-โพรพิลอะมีน,DI-N-PROPYLAMINE,142-84-7
689,ไดโพรพิลีนไตรอะมีน,DIPROPYLENETRIAMINE,56-18-8
690,ได-เอ็น-โพรพิล อีเธอร์,DI-N-PROPYL  ETHER,111-43-3
691,ได-เอ็น-โพรพิล-คีโตน,DI-N-PROPYL  KETONE,123-19-3
692,ไดควอท,DIQUAT,2764-72-9
693,ไดควอท และเกลือ,DIQUAT  AND  SALTS,-
694,"ไดโซเดียม 3,6-อีพอกซีไซโคลเฮกเซน-1,2-ไดคาร์บอกซีเลท","DISODIUM-3,6-EPOXYCYCLOHEXANE-1,2-DICARBOXYLATE",145-73-3
695,ไดโซเดียม เอทธิลีนบิสไดไธโอคาร์บาเมท (นาแบม),DISODIUM  ETHYLENEBISDITHIOCARBAMATE (NABAM),142-59-6
696,ไดซัลเฟอร์  ไดคลอไรด์,DISULPHUR  DICHLORIDE,10025-67-9
697,ไดไธอะนอน,DITHIANON,3347-22-6
698,ไดยูรอน,DIURON,330-54-1
699,ดีเอ็นโอซี,DNOC,534-52-1
700,เกลือแอมโมเนียมของ ดีเอ็นโอซี,DNOC (AMMONIUM  SALT),2980-64-5
701,เกลือโปแตสเซียมของ ดีเอ็นโอซี,DNOC (POTASSIUM  SALT),5787-96-2
702,เกลือโซเดียมของ ดีเอ็นโอซี,DNOC (SODIUM  SALT),2312-76-7
703,โดดีน (โดเดซิลกัวนิดีน  อะซีเตท),DODINE (DODECYLGUANIDINE  ACETATE),2439-10-3
704,ดราซอกโซลอน,DRAZOXOLON,5707-69-7
705,เอ็นโดซัลแฟน,ENDOSULFAN,115-29-7
706,เอ็นโดธาล-โซเดียม,ENDOTHAL - SODIUM,129-67-9
707,เอ็นโดไธออน,ENDOTHION,2778-04-3
708,เอ็นดริน,ENDRIN,72-20-8
709,อีพีเอ็น,EPN,2104-64-5
710,เอทไธออน,ETHION,563-12-2
711,เอทธิล ไนเตรท,ETHYL  NITRATE,625-58-1
712,เอทธิลีนอิมีน,ETHYLENEIMINE,151-56-4
713,เอทธิลีน ไกลคอล ไดไนเตรท,ETHYLENE  GLYCOL  DINITRATE,628-96-6
714,เอทิลีน ออกไซด์,ETHYLENE   OXIDE,75-21-8
715,อีฟีดรีน,EPHEDRINE,299-42-3
716,เกลือของอีฟีดรีน,EPHEDRINE (SALTS),-
717,อีพิคลอโรไฮดริน,EPICHLOROHYDRIN,106-89-8
718,"1,2-อีพอกซี-4-อีพอกซีเอทธิลไซโคลเฮกเซน 1,2-",EPOXY-4-EPOXYETHYLCYCLOHEXANE,106-87-6
719,"1,2-อีพอกซี-3-ฟีนอกซีโพรเพน 1,2-",EPOXY-3-PHENOXYPROPANE,122-60-1
720,"1,2-อีพอกซีโพรเพน 1,2-",EPOXYPROPANE,75-56-9
721,"2,3-อีพอกซี-1-โพรพานอล 2,3-",EPOXY-1-PROPANOL,556-52-5
722,"1,3-บิส (2,3-อีพอกซีโพรพอกซี) เบนซีน 1,3-","BIS (2,3-EPOXYPROPOXY) BENZENE",101-90-6
723,"1,4-บิส (2,3-อีพอกซีโพรพอกซี) บิวเทน 1,4-","BIS (2,3-EPOXYPROPOXY) BUTANE",2425-79-8
724,"บิส [4-(2,3-อีพอกซีโพรพอกซี) ฟีนิล ] โพรเพน","BIS [4-(2,3-EPOXYPROPOXY) PHENYL]  PROPANE",1675-54-3
725,"2,3-อีพอกซีโพรพิล อะครีเลท 2,3-",EPOXYPROPYL  ACRYLATE,106-90-1
726,"2,3-อีพอกซีโพรพิล-2-เอทธิลไซโคลเฮกซิล อีเธอร์ 2,3-",EPOXYPROPYL-2-ETHYLCYCLOHEXYL  ETHER,130014-35-6
727,"2,3-อีพอกซีโพรพิล เมทธาครีเลท 2,3-",EPOXYPROPYL  METHACRYLATE,106-91-2
728,"1,2-อีพอกซี-3-[โทลิลออกซี]  โพรเพน 1,2-",EPOXY-3-[TOLYLOXY]  PROPANE,26447-14-3
729,อีพีทีซี,EPTC,759-94-4
730,เออร์บอน,ERBON,136-25-4
731,อีเธน,ETHANE,74-84-0
732,อีเธนไดออล,ETHANE DIOL,107-21-1
733,"อีเธน-1,2-ไดโอน","ETHANE-1,2-DIONE",107-22-2
734,อีเธนไธออล,ETHANETHIOL,75-08-1
735,เอทธานอล (เอทธิล แอลกอฮอล์),ETHANOL (ETHYL ALCOHOL),64-17-5
736,เอทธาโนลามีน,ETHANOLAMINE,141-43-5
